x,y,label
10.12397,-5.96725,1.00000
9.74735,16.71300,1.00000
12.85588,6.88190,1.00000
11.90882,13.39061,1.00000
13.54776,7.97935,1.00000
15.34086,6.35687,1.00000
-11.34494,-13.88505,0.00000
-10.11619,-12.02559,0.00000
7.62271,17.28856,1.00000
8.01111,16.05042,1.00000
3.78730,-20.64868,0.00000
-7.58337,-16.29691,0.00000
17.15618,-15.21422,0.00000
5.92675,1.17693,0.00000
-4.57146,-8.16197,1.00000
-11.81451,-11.69282,0.00000
23.81086,-6.18392,0.00000
-3.83652,-7.11482,1.00000
-14.17200,0.90930,0.00000
11.43942,-19.07120,0.00000
1.07479,8.74452,0.00000
-13.02565,-12.16675,0.00000
-9.37387,6.35460,0.00000
-5.80846,20.47189,1.00000
6.51422,-6.88983,1.00000
-23.46902,6.01835,1.00000
-20.26463,11.19198,1.00000
9.23138,17.30339,1.00000
3.77514,-8.13652,1.00000
5.68026,-20.95117,0.00000
20.70274,-11.20025,0.00000
-8.28335,-14.83634,0.00000
14.57470,4.07027,1.00000
-11.67733,-1.38616,0.00000
-11.16636,18.10504,1.00000
-23.73472,2.91912,1.00000
-1.16936,8.48616,0.00000
-2.50282,-19.43493,0.00000
2.14089,20.42375,1.00000
9.18261,-5.89562,1.00000
24.47541,-4.20625,0.00000
-8.88492,-14.24660,0.00000
-23.21096,3.47289,1.00000
-5.53987,-16.95038,0.00000
-12.34016,-12.83144,0.00000
-8.63666,20.83881,1.00000
17.30551,-16.83860,0.00000
1.57989,20.77479,1.00000
4.31163,3.01249,0.00000
-22.38293,6.38889,1.00000
5.15365,-9.60685,1.00000
-9.69588,20.22302,1.00000
-1.14408,-20.93201,0.00000
-3.09989,21.33866,1.00000
-0.94179,19.48152,1.00000
-11.07499,-8.12447,0.00000
16.42608,-14.29459,0.00000
14.55601,4.68989,1.00000
-15.12287,18.67682,1.00000
-7.68303,-16.03403,0.00000
19.54994,-9.60648,0.00000
-12.34141,16.55778,1.00000
16.65780,-14.02441,0.00000
-0.36107,-8.10875,1.00000
21.61343,-8.88065,0.00000
2.96063,-9.07139,1.00000
3.03786,5.34050,0.00000
16.48223,6.52856,1.00000
4.36833,-11.57728,1.00000
-12.66178,-9.77396,0.00000
14.32733,0.06634,1.00000
